question,gold_papers,retrieved_papers,hit_rate@5,ndcg@5
What nonlinear features have been used to characterize uterine EMG signals?,"['paper1', 'paper2', 'paper3', 'paper4', 'paper5']","['paper2', 'paper7', 'paper5', 'paper10', 'paper4']",1,0.639945385422766
What signal processing features have been used to quantify uterine electrical activity?,"['paper1', 'paper2', 'paper3', 'paper4', 'paper5']","['paper2', 'paper6', 'paper7', 'paper1', 'paper5']",1,0.6164336326286644
Which uterine EMG features have been investigated for predicting the onset of labor?,"['paper1', 'paper2', 'paper3', 'paper4', 'paper5']","['paper7', 'paper1', 'paper2', 'paper4', 'paper6']",1,0.5296347172140421
How are electrodes positioned for recording uterine EMG signals?,"['paper1', 'paper2', 'paper3', 'paper4', 'paper5']","['paper2', 'paper1', 'paper6', 'paper8', 'paper10']",1,0.5531464700081437
What electrode configurations have been used for non-invasive uterine EMG recording?,"['paper1', 'paper2', 'paper3', 'paper4', 'paper5']","['paper2', 'paper1', 'paper10', 'paper6', 'paper8']",1,0.5531464700081437
What sampling frequencies have been used for uterine EMG recordings?,"['paper1', 'paper2', 'paper3', 'paper4', 'paper5']","['paper2', 'paper1', 'paper6', 'paper7', 'paper10']",1,0.5531464700081437
What preprocessing steps are commonly applied to uterine EMG signals before analysis?,"['paper1', 'paper2', 'paper3', 'paper4', 'paper5']","['paper2', 'paper1', 'paper4', 'paper10', 'paper7']",1,0.7227265726449519
How has uterine EMG been used to predict preterm birth?,"['paper1', 'paper2', 'paper3', 'paper4', 'paper5']","['paper7', 'paper4', 'paper1', 'paper2', 'paper8']",1,0.5296347172140421
Which uterine EMG features have been associated with preterm versus term delivery?,"['paper1', 'paper2', 'paper3', 'paper4', 'paper5']","['paper7', 'paper4', 'paper1', 'paper2', 'paper6']",1,0.5296347172140421
How effective is uterine EMG for distinguishing preterm from term pregnancies?,"['paper1', 'paper2', 'paper3', 'paper4', 'paper5']","['paper4', 'paper7', 'paper2', 'paper1', 'paper8']",1,0.6548086577531307
What changes in uterine electrical activity are associated with the onset of labor?,"['paper1', 'paper2', 'paper3', 'paper4', 'paper5']","['paper7', 'paper1', 'paper2', 'paper6', 'paper5']",1,0.5147714448836774
How can uterine EMG be used to monitor uterine contractions?,"['paper1', 'paper2', 'paper3', 'paper4', 'paper5']","['paper2', 'paper8', 'paper7', 'paper1', 'paper10']",1,0.48522855511632257
What evidence supports the use of EHG for identifying women at risk of preterm delivery?,"['paper1', 'paper2', 'paper3', 'paper4', 'paper5']","['paper7', 'paper8', 'paper2', 'paper1', 'paper4']",1,0.4468535299918563
What are the advantages of uterine EMG compared with conventional methods of monitoring uterine contractions?,"['paper1', 'paper2', 'paper3', 'paper4', 'paper5']","['paper2', 'paper7', 'paper1', 'paper8', 'paper10']",1,0.5087403079104241
What machine learning methods have been applied to uterine EMG or EHG classification?,"['paper1', 'paper2', 'paper3', 'paper4', 'paper5']","['paper2', 'paper4', 'paper1', 'paper8', 'paper7']",1,0.7227265726449519
What features have been used as inputs to machine learning models for uterine EMG analysis?,"['paper1', 'paper2', 'paper3', 'paper4', 'paper5']","['paper2', 'paper4', 'paper1', 'paper10', 'paper7']",1,0.7227265726449519
What are the major limitations of uterine EMG or EHG as a method for pregnancy and labor assessment?,"['paper1', 'paper2', 'paper3', 'paper4', 'paper5']","['paper7', 'paper2', 'paper1', 'paper5', 'paper8']",1,0.5296347172140421
What challenges affect the reliability and reproducibility of uterine EMG measurements?,"['paper1', 'paper2', 'paper3', 'paper4', 'paper5']","['paper2', 'paper7', 'paper1', 'paper6', 'paper10']",1,0.5087403079104241
